cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,0,0,1,,,,,,,,,,,,,17.465528200002154,19.296319300003233,42.042512400003034,4.8,42.918965300006676,47.72526010000729,47.730597839996335,0.30612910000490956,48.16890420000709,48.16890420000709,m,1.4129366999986814,52.70616770000197,52.70616770000197,53,2.916,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,3.1,52.70616770000197,55.807961200000136,55.8079269200025,0.3051488000055542,56.25240029999986,56.25240029999986,n,0.7981063999905018,59.99387150000257,59.99387150000257,11,2.734,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,3.4,59.99387150000257,63.399460100001306,63.39976752000075,0.30475410001236014,63.843863100002636,63.843863100002636,n,0.8930806999997003,67.29413540000678,67.29413540000678,11,2.353,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,4.2,67.29413540000678,71.49750589999894,71.4974477200085,0.30194760000449605,71.94294490000175,71.94294490000175,m,0.5167457000061404,74.4816645999963,74.4816645999963,61,1.997,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,2,,,,,,,,3.5,91.94950630000676,95.45178980000492,95.45183772000746,0.3049732999934349,95.89616980000574,95.89616980000574,m,1.4952990999881877,98.8533854999987,98.8533854999987,70,1.242,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,5,,,,,,,,4.8,98.8533854999987,103.6542075000034,103.65407762000541,0.3023838000081014,104.09869159999653,104.09869159999653,n,0.46366529999068007,108.61577180000313,108.61577180000313,10,3.831,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,0,,,,,,,,3.7,108.61577180000313,112.31544459999714,112.31527342000481,0.3041330999985803,112.76676700000826,112.76676700000826,m,0.5083297999954084,116.69986560000689,116.69986560000689,90,3.22,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,10,,,,,,,,3.7,116.69986560000689,120.39947600000596,120.39931142000569,0.302721100000781,120.845493300003,120.845493300003,n,0.48756520000461023,124.44754720000492,124.44754720000492,7,2.914,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,3,,,,,,,,4.7,124.44754720000492,129.15038710000226,129.15031351999642,0.30523869999160524,129.59460650000256,129.59460650000256,m,0.4647129000077257,131.7494635000039,131.7494635000039,66,1.497,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,9,,,,,,,,4.9,131.7494635000039,136.65133870000136,136.6513306199995,0.3052959000051487,137.09987560000445,137.09987560000445,n,0.4929478999983985,139.59668060000695,139.59668060000695,4,1.797,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
