cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,0,0,1,,,,,,,,,,,,,15.3265077,195.7929801,245.6810031,4.1,247.1209967,251.2325137,251.2373541,0.3063526,251.6748947,251.6748947,m,2.1228744,257.2014628,257.2014628,50,3.311,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,3.2,257.2014628,260.4087451,260.4120725,0.3057412,260.8530592,260.8530592,n,1.4703789,265.0191364,265.0191364,21,2.638,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,3.7,265.0191364,268.7193939,268.7192954,0.3048472,269.1666671,269.1666671,n,1.6134847,272.8063493,272.8063493,14,1.95,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,3.2,272.8063493,276.011163,276.0111321,0.3052452,276.4559007,276.4559007,m,1.5597753,280.8855828,280.8855828,48,2.845,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,9,,,,,,,,4.5,340.9566714,345.4570015,345.4570085,0.3053864,345.9012062,345.9012062,n,1.5666407,349.8613759,349.8613759,17,2.339,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,7,,,,,,,,5,349.8613759,354.8612579,354.8612644,0.2992556,355.3034516,355.3034516,n,2.1855696,359.1215876,359.1215876,21,1.56,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,11,,,,,,,,3.3,359.1215876,362.4244103,362.4244167,0.3052235,362.8684501,362.8684501,m,0.9680786,366.2842046,366.2842046,48,2.371,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,5,,,,,,,,3.1,366.2842046,369.3835742,369.3835514,0.2999378,369.8282726,369.8282726,n,1.9324005,375.2714748,375.2714748,17,3.451,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,6,,,,,,,,4.6,375.2714748,379.8710705,379.8711394,0.3049534,380.3154061,380.3154061,n,1.1582936,383.1380894,383.1380894,18,1.594,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,3,,,,,,,,3.5,383.1380894,386.6427309,386.6427753,0.3048117,387.0869883,387.0869883,m,1.1358548,390.2850655,390.2850655,55,2.005,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
