series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,rand_shocks.thisRepN,rand_shocks.thisTrialN,rand_shocks.thisN,rand_shocks.thisIndex,wait1_dur,intensity,text_12.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,main_text.started,confirm_text.started,rating,ratingScale.response,ratingScale.rt,text_2.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_7.started,text_9.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,main_text_rand.started,confirm_rand.started,scale_wasmoved,rating_rand_.response,rating_rand_.rt,participant,debug,fail_ma,max_ma,nramps,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,2.2,10,570.5959323999996,570.5959323999996,p,3.5518763000145555,574.1598412000167,576.3615406000172,576.3615406000172,577.3916417,584.702342500008,584.702342500008,0,0,7.31,584.702342500008,584.702342500008,y,9.981351900001755,,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,1,0,1,0,,,,,2.4,20,594.7947079000005,594.7947079000005,p,0.5215151000011247,595.3294218000083,597.7326218000089,597.7326218000089,598.748714699992,603.175525300001,603.175525300001,1,1,4.427,603.175525300001,603.175525300001,y,2.6925553000182845,594.7219965000113,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,2,0,2,0,,,,,2.1,30,605.983717199997,605.983717199997,p,0.5163648999878205,606.5113705999975,608.6155397999974,608.6155397999974,609.632210700016,614.1070528000128,614.1070528000128,6,6,4.477,614.1070528000128,614.1070528000128,y,3.224640599975828,605.9088164000132,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,3,0,3,0,,,,,2.3,40,617.4434233999928,617.4434233999928,p,0.7285934000101406,618.1794459999946,620.4783150000148,620.4783150000148,621.4939323000144,630.5051576000114,630.5051576000114,7,7,9.012,630.5051576000114,630.5051576000114,y,6.026860100013437,617.3662313999957,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,4,0,4,0,,,,,2.2,50,636.646846299991,636.646846299991,p,0.4695581999840215,637.1266959999921,639.3276675000088,639.3276675000088,640.3453857999993,646.9795739999972,646.9795739999972,10,10,6.636,646.9795739999972,646.9795739999972,y,2.432193099986762,636.5890913000039,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,5,0,5,0,,,,,2.2,60,649.5234595999937,649.5234595999937,p,0.6170623000070918,650.1490227000031,652.3501966999902,652.3501966999902,653.3678371999995,659.1682329000032,659.1682329000032,20,20,5.802,659.1682329000032,659.1682329000032,y,2.708356199989794,649.4683985000011,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,6,0,6,0,,,,,2.3,70,661.9901974000095,661.9901974000095,p,0.5181419999862555,662.5179810000118,664.8238072000095,664.8238072000095,665.8419760999968,671.6429622000142,671.6429622000142,36,36,5.802,671.6429622000142,671.6429622000142,y,2.6966762999945786,661.9168518999941,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,7,0,7,0,,,,,2.3,80,674.4570086000022,674.4570086000022,p,0.762664899986703,675.2278912000183,677.533806899999,677.533806899999,678.5491383000044,683.504526100005,683.504526100005,43,43,4.956,683.504526100005,683.504526100005,y,2.588100900000427,674.3802398999978,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,8,0,8,0,,,,,2.0,90,686.2084970000142,686.2084970000142,p,0.6515057999931742,686.8706527000177,688.87551849999,688.87551849999,,695.1519671000133,695.1519671000133,58,58,5.259,695.1519671000133,695.1519671000133,y,2.748149999999441,686.1575624000106,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,9,0,9,0,,,,,2.1,100,698.0155117000104,698.0155117000104,p,0.65229339999496,698.675166400004,700.7797113000124,700.7797113000124,701.7966854000115,710.459348000004,710.459348000004,63,63,8.664,710.459348000004,710.459348000004,y,3.048671500000637,697.9503844999999,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,10,0,10,0,,,,,2.0,110,713.6219723999966,713.6219723999966,p,0.6861617999966256,714.3159886999929,716.3168540000042,716.3168540000042,717.3327201000066,726.947591300006,726.947591300006,70,70,9.615,726.947591300006,726.947591300006,n,2.5600642999925185,713.5479038000049,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,0,0,0,0,,,,,2.2,10,735.3047216999985,735.3047216999985,p,1.6519204000069294,736.9646570000041,739.1663370000024,739.1663370000024,740.1821659000125,743.2967289999942,743.2967289999942,0,0,3.115,743.2967289999942,743.2967289999942,y,2.2434245999902487,735.2314375000133,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,1,0,1,0,,,,,2.5,20,745.6536840999906,745.6536840999906,p,0.4306819000048563,746.090844899998,748.5916894999973,748.5916894999973,749.6077981000126,751.5545556000143,751.5545556000143,0,0,1.947,751.5545556000143,751.5545556000143,y,1.7131484000128694,745.5868635000079,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,2,0,2,0,,,,,2.1,30,753.3840188000177,753.3840188000177,p,0.6209078999818303,754.0157784000039,756.1133114999975,756.1133114999975,757.1317452999938,762.4742686999962,762.4742686999962,0,0,5.342,762.4742686999962,762.4742686999962,y,7.954045299993595,753.3050827000116,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,3,0,3,0,,,,,2.1,40,770.545371300017,770.545371300017,p,0.4024805999943055,770.9550358999986,773.0598539999919,773.0598539999919,774.0759856000077,784.3576315999962,784.3576315999962,1,1,10.282,784.3576315999962,784.3576315999962,y,2.862800700007938,770.465786899993,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,4,0,4,0,,,,,2.3,50,787.3319874000154,787.3319874000154,p,0.3525593999947887,787.6934276999964,789.9990256000019,789.9990256000019,791.0172209000157,796.3950246000022,796.3950246000022,2,2,5.378,796.3950246000022,796.3950246000022,y,1.99325920001138,787.2607191000134,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,5,0,5,0,,,,,2.1,60,798.5002944000007,798.5002944000007,p,0.5920197999803349,799.1049398000177,801.2088266999926,801.2088266999926,802.225425200013,808.4589508000063,808.4589508000063,3,3,6.235,808.4589508000063,808.4589508000063,y,2.553836399980355,798.4451414000068,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,6,0,6,0,,,,,2.1,70,811.1273722999904,811.1273722999904,p,0.6216389000182971,811.7589789000049,813.8630951000086,813.8630951000086,814.8792204000056,819.8214806000178,819.8214806000178,6,6,4.942,819.8214806000178,819.8214806000178,y,2.5825347999925725,811.054710299999,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,7,0,7,0,,,,,2.3,80,822.5169701999985,822.5169701999985,p,0.4391163999971468,822.9691188000143,825.274131800019,825.274131800019,826.2913914000092,829.8632527000154,829.8632527000154,19,19,3.573,829.8632527000154,829.8632527000154,y,2.790078199992422,822.4472033999918,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,8,0,8,0,,,,,2.1,90,832.7686274000152,832.7686274000152,p,0.3231677000003401,833.102782300004,835.2064230999968,835.2064230999968,836.2221281999955,841.1006418000034,841.1006418000034,23,23,4.879,841.1006418000034,841.1006418000034,y,2.328099200007273,832.6922631000052,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,9,0,9,0,,,,,2.0,100,843.540364000015,843.540364000015,p,0.43144919999758713,843.9847422000021,845.9851067000127,845.9851067000127,847.0009684000106,851.4072548999975,851.4072548999975,35,35,4.407,851.4072548999975,851.4072548999975,y,2.0525355999998283,843.4759313999966,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,10,0,10,0,,,,,2.2,110,853.576278499997,853.576278499997,p,0.5082121000159532,854.0970782999939,856.2988209000032,856.2988209000032,857.315957600018,861.846045000013,861.846045000013,43,43,4.531,861.846045000013,861.846045000013,y,2.3819237999850884,853.4953840000089,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,11,0,11,0,,,,,2.2,120,864.3416275999916,864.3416275999916,p,0.5981144999968819,864.9530973999936,867.1545591000177,867.1545591000177,868.1711202000151,873.363074199995,873.363074199995,47,47,5.191,873.363074199995,873.363074199995,y,2.7207687000045553,864.266146000009,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,12,0,12,0,,,,,2.0,130,876.197834599996,876.197834599996,p,0.48624179998296313,876.6976232000161,878.6973544000066,878.6973544000066,879.7145697000087,885.9534014000092,885.9534014000092,66,66,6.24,885.9534014000092,885.9534014000092,n,1.8429317999980412,876.1226836999995,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,0,0,0,0,,,,,2.1,10,900.0126275999937,900.0126275999937,p,1.7994344999897294,901.8252352999989,903.9301420999982,903.9301420999982,904.9429905000143,907.3582900000038,907.3582900000038,0,0,2.416,907.3582900000038,907.3582900000038,y,0.9814940999785904,899.9483944000094,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,1,0,1,0,,,,,2.1,20,908.4511895000178,908.4511895000178,p,0.4569987000140827,908.9182585999952,911.0208480000147,911.0208480000147,912.0367814000056,914.5262295000139,914.5262295000139,0,0,2.49,914.5262295000139,914.5262295000139,y,1.0860820999951102,908.3861691000056,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,2,0,2,0,,,,,2.0,30,915.7300633999985,915.7300633999985,p,0.353648999996949,916.0911389999965,918.0914868999971,918.0914868999971,919.1059040999971,927.9791797999933,927.9791797999933,0,0,8.874,927.9791797999933,927.9791797999933,y,3.625357500015525,915.6728736000077,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,3,0,3,0,,,,,2.5,40,931.7177589999919,931.7177589999919,p,1.4940686999761965,933.2248799999943,935.725163199997,935.725163199997,936.741993100004,940.4876122999995,940.4876122999995,6,6,3.748,940.4876122999995,940.4876122999995,y,0.9017509999976028,931.652579400019,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,4,0,4,0,,,,,2.5,50,941.5039595999988,941.5039595999988,p,0.30868800001917407,941.8236250999907,944.3235614000005,944.3235614000005,945.3408374999999,948.6916267999914,948.6916267999914,12,12,3.352,948.6916267999914,948.6916267999914,y,0.960351499990793,941.4476715000055,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,5,0,5,0,,,,,2.3,60,949.7685418000037,949.7685418000037,p,0.39706240000668913,950.1781836000155,952.4776425000164,952.4776425000164,953.4946703000169,956.9338947999931,956.9338947999931,13,13,3.44,956.9338947999931,956.9338947999931,y,0.8544489000050817,949.7088203000021,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,6,0,6,0,,,,,2.2,70,957.9017576000188,957.9017576000188,p,0.3024931999971159,958.2140087000153,960.4156588999904,960.4156588999904,961.4323770999908,964.990632400004,964.990632400004,21,21,3.559,964.990632400004,964.990632400004,y,1.2614816999994218,957.8429659999965,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,7,0,7,0,,,,,2.2,80,966.3677743000153,966.3677743000153,p,0.4049044999992475,966.7844693000079,968.9863361000025,968.9863361000025,970.0036383999977,972.7001175000041,972.7001175000041,25,25,2.698,972.7001175000041,972.7001175000041,y,0.9367523999826517,966.3122747000016,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,8,0,8,0,,,,,2.0,90,973.7505218000151,973.7505218000151,p,0.485653599986108,974.2436262000119,976.244076300005,976.244076300005,977.261236099992,983.2220948000031,983.2220948000031,38,38,5.961,983.2220948000031,983.2220948000031,y,1.2458893999864813,973.6947143000143,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,9,0,9,0,,,,,2.5,100,984.5853866999969,984.5853866999969,p,0.4508724999905098,985.0436433000141,987.5448298999981,987.5448298999981,988.5594468000054,991.5745468999958,991.5745468999958,46,46,3.014,991.5745468999958,991.5745468999958,y,1.3179323999793269,984.5276386000041,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,10,0,10,0,,,,,2.2,110,993.0100323999941,993.0100323999941,p,0.4499770999827888,993.4683135999949,995.6704775000107,995.6704775000107,996.6885270999919,1002.1617733000021,1002.1617733000021,51,51,5.475,1002.1617733000021,1002.1617733000021,y,1.074970999994548,992.9492022999912,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,11,0,11,0,,,,,2.0,120,1003.352183400013,1003.352183400013,p,0.3967746999987867,1003.7617785000184,1005.7614581999951,1005.7614581999951,,1009.6905954999966,1009.6905954999966,55,55,2.914,1009.6905954999966,1009.6905954999966,y,1.7858050999930128,1003.2723070000065,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,12,0,12,0,,,,,2.2,130,1011.5887594000087,1011.5887594000087,p,0.4719673999934457,1012.0677768000169,1014.2693771999911,1014.2693771999911,1015.2852801000117,1017.6912680999958,1017.6912680999958,67,67,2.407,1017.6912680999958,1017.6912680999958,n,1.3932352999981958,1011.5336069000186,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,0,0,0,0,3.0,61,,,,,1039.091722800018,1042.092164600006,1042.092164600006,1043.1093022999994,,,1,,,,,,,,1037.7090145999973,1037.7090145999973,p,1.375111300003482,1046.2393712000048,1046.2393712000048,1,1,3.093,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,1,0,1,0,3.0,68,,,,,1046.9890692000045,1049.9888756000146,1049.9888756000146,1051.005309500004,,,1,,,,,,,,1046.2393712000048,1046.2393712000048,p,0.7406215000082739,1054.8393513000046,1054.8393513000046,1,1,3.783,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,2,0,2,0,3.0,47,,,,,1055.3854078000004,1058.3861493000004,1058.3861493000004,1059.4028825999994,,,7,,,,,,,,1054.8393513000046,1054.8393513000046,p,0.5331604999955744,1062.6837448000151,1062.6837448000151,1,7,3.246,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,3,0,3,0,3.0,40,,,,,1063.317199000012,1066.3174714999914,1066.3174714999914,1067.3357902000134,,,0,,,,,,,,1062.6837448000151,1062.6837448000151,p,0.6244188999990001,1069.3957124000008,1069.3957124000008,1,0,2.01,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,4,0,4,0,3.0,123,,,,,1070.1094744000002,1073.1103083000053,1073.1103083000053,1074.1274191999983,,,72,,,,,,,,1069.3957124000008,1069.3957124000008,p,0.704848099994706,1083.730558900017,1083.730558900017,1,72,9.545,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,5,0,5,0,3.0,116,,,,,1086.3479597000114,1089.347895200015,1089.347895200015,1090.367226900009,,,61,,,,,,,,1083.730558900017,1083.730558900017,p,2.610189099999843,1093.812654600013,1093.812654600013,1,61,3.398,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,6,0,6,0,3.0,95,,,,,1094.5637148999958,1097.5641540999932,1097.5641540999932,1098.5804761000036,,,44,,,,,,,,1093.812654600013,1093.812654600013,p,0.7442663999972865,1100.8905847000133,1100.8905847000133,1,44,2.26,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,7,0,7,0,3.0,109,,,,,1101.5576153000002,1104.5584068000026,1104.5584068000026,1105.5754218999937,,,58,,,,,,,,1100.8905847000133,1100.8905847000133,p,0.6574963000020944,1108.370812500012,1108.370812500012,1,58,2.739,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,8,0,8,0,3.0,54,,,,,1108.9618883999938,1111.9621845000074,1111.9621845000074,1112.9791050000058,,,31,,,,,,,,1108.370812500012,1108.370812500012,p,0.5773405999934766,1115.0333571000083,1115.0333571000083,1,31,2.01,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,9,0,9,0,3.0,88,,,,,1115.7539473999932,1118.754871800018,1118.754871800018,1119.7714478000125,,,59,,,,,,,,1115.0333571000083,1115.0333571000083,p,0.7069913000159431,1123.7256591999903,1123.7256591999903,1,59,3.905,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,10,0,10,0,3.0,102,,,,,1124.449339200015,1127.4498374999966,1127.4498374999966,1128.4657635000185,,,70,,,,,,,,1123.7256591999903,1123.7256591999903,p,0.7110542000154965,1130.1019739999902,1130.1019739999902,0,70,1.58,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,11,0,11,0,3.0,75,,,,,1130.9294924999995,1133.9299732999934,1133.9299732999934,1134.9452829000074,,,35,,,,,,,,1130.1019739999902,1130.1019739999902,p,0.8144064000225626,1138.123815400002,1138.123815400002,1,35,3.13,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,12,0,12,0,3.0,130,,,,,1138.7500814000086,1141.7500610999996,1141.7500610999996,1142.766569600004,,,73,,,,,,,,1138.123815400002,1138.123815400002,p,0.6160660999885295,1145.219278900011,1145.219278900011,1,73,2.408,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
,,,,,,,,13,0,13,0,3.0,82,,,,,1145.8063487000181,1148.8064966000093,1148.8064966000093,1149.8242739000125,,,63,,,,,,,,1145.219278900011,1145.219278900011,p,0.5780019000230823,1153.3202130999998,1153.3202130999998,1,63,3.496,sub-021,0,750,700,3,2023-06-07_10h49.11.118,painuncertainty_calibration,2022.2.5,143.1567494881599,
