cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,0,0,2,,,,,,,,,,,,,29.1529662,188.9453542,245.4313283,3.4,248.0578098,251.4656714,251.4666865,0.3059761,251.9048184,251.9048184,m,1.9452758,258.6768528,258.6768528,38,4.743,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,4.4,258.6768528,263.0821362,263.0867432,0.304626,263.524163,263.524163,m,1.03123,266.7143372,266.7143372,55,2.08,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,3.4,266.7143372,270.1158156,270.1156088,0.3049415,270.5638863,270.5638863,n,0.9870532,274.3531746,274.3531746,30,2.731,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,4.8,274.3531746,279.1578422,279.1578557,0.3049201,279.6020173,279.6020173,m,0.954677,282.5310913,282.5310913,55,1.949,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,7,,,,,,,,3.8,310.8197737,314.6207894,314.6207182,0.301321,315.0650805,315.0650805,n,0.9581021,318.1192778,318.1192778,22,2.045,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,6,,,,,,,,4.7,318.1192778,322.8226553,322.8227357,0.3049992,323.2669705,323.2669705,n,0.8140348,325.6298815,325.6298815,20,1.483,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,9,,,,,,,,4.5,325.6298815,330.129481,330.1295672,0.3047702,330.5732499,330.5732499,n,0.7227764,334.6100648,334.6100648,18,3.253,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,5,,,,,,,,4.9,334.6100648,339.512704,339.5126959,0.3050943,339.9599908,339.9599908,n,1.0097842,343.0488717,343.0488717,20,2.017,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,10,,,,,,,,4.3,343.0488717,347.3534775,347.353474,0.3052015,347.7977331,347.7977331,n,0.9490715,351.2303688,351.2303688,22,2.4,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,11,,,,,,,,4.8,351.2303688,356.0354329,356.0353904,0.3051732,356.4834345,356.4834345,m,0.834764,360.4967138,360.4967138,49,3.114,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,0,,,,,,,,4.5,360.4967138,365.0014564,365.0015044,0.2996348,365.446304,365.446304,m,0.8687735,369.0458686,369.0458686,48,2.684,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,1,,,,,,,,4.2,369.0458686,373.2458478,373.2460421,0.3050374,373.6933232,373.6933232,m,0.8118892,376.8441663,376.8441663,48,2.281,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,3,,,,,,,,4.4,376.8441663,381.2469581,381.2467605,0.3051747,381.6946426,381.6946426,m,0.9420752,384.9930274,384.9930274,50,2.296,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,4,,,,,,,,4.7,384.9930274,389.6923288,389.6949125,0.302657,390.1382978,390.1382978,n,1.8342047,394.3905974,394.3905974,25,2.35,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,2,,,,,,,,4.8,394.3905974,399.1932371,399.1933036,0.304842,399.6373256,399.6373256,m,1.5286189,404.1386423,404.1386423,40,2.892,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,8,,,,,,,,4.8,404.1386423,408.9444495,408.9444402,0.3048744,409.3884625,409.3884625,n,1.1419391,413.9645365,413.9645365,17,3.35,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,2,,,,,,,,5,413.9645365,418.9666648,418.9667119,0.2995029,419.411119,419.411119,m,1.1822457,423.1687114,423.1687114,44,2.497,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,7,,,,,,,,4.6,423.1687114,427.773021,427.7729645,0.3052384,428.2208485,428.2208485,n,0.6907253,432.8835571,432.8835571,16,3.907,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,1,,,,,,,,3.5,432.8835571,436.3855639,436.3855198,0.3051457,436.8316805,436.8316805,m,1.319406,440.8102423,440.8102423,51,2.587,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,9,,,,,,,,5,440.8102423,445.8098646,445.8098678,0.300237,446.2544295,446.2544295,n,1.5323236,450.9098622,450.9098622,18,3.046,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,4,,,,,,,,3.6,450.9098622,454.5123819,454.5124057,0.3049852,454.9606327,454.9606327,m,1.1818673,458.5788487,458.5788487,49,2.365,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
