cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.stopped,Choice.stopped,choice_pain.keys,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,0,0,3,,,,,,,,,,,,,28.9043400999999,227.00674059999983,307.1134052999996,3.8,309.02541299999984,312.83361799999966,312.83621891999985,0.30168259999982183,313.27386709999973,313.27386709999973,315.7492757,315.7492757,None,318.9132212999998,318.9132212999998,58,3.121,,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,4.6,318.9132212999998,323.51851399999987,323.5184360099998,0.30056100000001607,323.9629580999999,323.9629580999999,,,n,328.3602120999999,328.3602120999999,28,3.302,1.0389225000003535,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,3.5,328.3602120999999,331.8632012999997,331.8669089199999,0.30079699999987497,332.30408639999996,332.30408639999996,,,m,337.90654749999976,337.90654749999976,54,3.803,1.7279250000001412,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,3.9,337.90654749999976,341.812735,341.81253531,0.3050720999999612,342.26063320000003,342.26063320000003,,,m,347.1302762999999,347.1302762999999,63,2.968,1.8730014000002484,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,8,,,,,,,,4.5,394.9296597999996,399.4303866999999,399.43067720999994,0.3048015999997915,399.87657709999985,399.87657709999985,,,n,403.7847829999996,403.7847829999996,25,2.872,0.9502284999998665,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,11,,,,,,,,5,403.7847829999996,408.78524089999974,408.7852807099999,0.3056381000001238,409.2337015999997,409.2337015999997,,,m,414.5909428,414.5909428,60,4.031,1.2467184000001907,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,5,,,,,,,,3.9,414.5909428,418.4948884999999,418.49506101000003,0.3045481999997719,418.9389999,418.9389999,,,n,423.76735340000005,423.76735340000005,34,3.06,1.6900197000004482,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,4.1,423.76735340000005,427.8709971999997,427.87112291,0.30541489999995974,428.31581389999974,428.31581389999974,,,m,432.8769003999996,432.8769003999996,63,2.385,2.1192313000001377,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,3.2,432.8769003999996,436.08024369999976,436.0803219099999,0.3060740999999325,436.52964489999977,436.52964489999977,,,m,440.1196163999998,440.1196163999998,70,2.537,0.9801889000000301,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,10,,,,,,,,3.8,440.1196163999998,443.92215020000003,443.9221561099999,0.3068617999997514,444.37329409999984,444.37329409999984,,,n,449.3755286999999,449.3755286999999,30,4.053,0.8702772999999979,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
