,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,80,30
1,0,1,20,0,1,80,30
2,0,2,30,10,1,80,30
3,0,3,40,22,1,80,30
4,0,4,50,33,1,80,30
5,0,5,60,47,1,80,30
6,0,6,70,59,1,80,30
7,0,7,80,71,1,80,30
8,1,0,10,0,1,80,30
9,1,1,20,0,1,80,30
10,1,2,30,8,1,80,30
11,1,3,40,17,1,80,30
12,1,4,50,23,1,80,30
13,1,5,60,31,1,80,30
14,1,6,70,46,1,80,30
15,1,7,80,64,1,80,30
16,2,0,10,0,1,80,30
17,2,1,20,0,1,80,30
18,2,2,30,9,1,80,30
19,2,3,40,22,1,80,30
20,2,4,50,30,1,80,30
21,2,5,60,37,1,80,30
22,2,6,70,47,1,80,30
23,2,7,80,67,1,80,30
