cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,0,0,0,,,,,,,,,,,,,23.40788819998852,27.486825199986924,29.29933519999031,4.3,29.931196499994257,34.255034199988586,34.25782241999405,0.30509389999497216,34.695519699991564,34.695519699991564,None,48.60507510000025,48.60507510000025,16,11.41,,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,3.8,48.60507510000025,52.40597739999066,52.405841229995715,0.30522799999744166,52.85038199998962,52.85038199998962,m,58.24182640000072,58.24182640000072,33,4.074,1.2404088999901433,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,4.1,58.24182640000072,62.3449641999905,62.34511612999195,0.3052505000086967,62.79245819999778,62.79245819999778,m,69.61757819999184,69.61757819999184,42,4.976,1.7826353999989806,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,3.1,69.61757819999184,72.72099389998766,72.72093852999679,0.3051061000005575,73.16507149999961,73.16507149999961,m,80.37506819999544,80.37506819999544,40,5.345,1.8364968999958364,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,3,,,,,,,,3.2,156.67838589999883,159.87746429999243,159.8774981299968,0.3048536999995122,160.32176359998994,160.32176359998994,None,165.25903899999685,165.25903899999685,46,2.419,,162.79139149999537,162.79139149999537,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,8,,,,,,,,4.8,165.25903899999685,170.05927399999928,170.05946692999277,0.3048177000018768,170.50734069998725,170.50734069998725,n,174.42923470000096,174.42923470000096,15,2.997,0.8712187000055565,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,9,,,,,,,,4.8,174.42923470000096,179.23399309998786,179.2340054299886,0.3049992000014754,179.68217580000055,179.68217580000055,n,181.2385934999911,181.2385934999911,20,0.956,0.5234974000049988,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,0,,,,,,,,4.3,181.2385934999911,185.54023709999456,185.54034082999277,0.30481140001211315,185.98468759999378,185.98468759999378,m,188.60454019998724,188.60454019998724,42,1.893,0.6478010999999242,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,7,,,,,,,,4.9,188.60454019998724,193.5081965999998,193.50686822999268,0.30508540000300854,193.95455179999408,193.95455179999408,n,195.90767760000017,195.90767760000017,13,1.497,0.3826258999906713,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,11,,,,,,,,4.7,195.90767760000017,200.61156809999375,200.6116928299918,0.3049629000015557,201.06041189999087,201.06041189999087,None,207.379803799995,207.379803799995,40,3.824,,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
