,series,trial,intensity,rating,fired,tolerance,threshold
0,0,0,10,0,1,100,20
1,0,1,20,1,1,100,20
2,0,2,30,1,1,100,20
3,0,3,40,10,1,100,20
4,0,4,50,36,1,100,20
5,0,5,60,52,1,100,20
6,0,6,70,69,1,100,20
7,0,7,80,80,1,100,20
8,0,8,90,99,1,100,20
9,0,9,100,100,1,100,20
10,1,0,10,0,1,100,20
11,1,1,20,0,1,100,20
12,1,2,30,6,1,100,20
13,1,3,40,14,1,100,20
14,1,4,50,34,1,100,20
15,1,5,60,49,1,100,20
16,1,6,70,67,1,100,20
17,1,7,80,89,1,100,20
18,1,8,90,94,1,100,20
19,1,9,100,98,1,100,20
20,1,10,110,100,1,100,20
21,2,0,10,0,1,100,20
22,2,1,20,4,1,100,20
23,2,2,30,7,1,100,20
24,2,3,40,9,1,100,20
25,2,4,50,28,1,100,20
26,2,5,60,45,1,100,20
27,2,6,70,55,1,100,20
28,2,7,80,78,1,100,20
29,2,8,90,93,1,100,20
30,2,9,100,100,1,100,20
